"ID";"en";"fr";"de";"es";"pl";"ru";"ko";"ja";"zh";"zh_tw";"tr";"hi";"ind"
"Battering_Ram.name";"Battering Ram";"Bélier";"Rammbock";"Ariete";"Taran";"Таран";"공성추";"破城槌";"攻城锤";"攻城槌";"Koçbaşı";"बैटरिंग रैम";"Pelantak Tubruk"
"Heavy_Siege_Ram.name";"Heavy Siege Ram";"Bélier";"Schwere Belagerungsramme";"Ariete";"Taran";"Таран";"공성추";"破城槌";"攻城锤";"攻城槌";"Koçbaşı";"बैटरिंग रैम";"Pelantak Tubruk"
"Battering_Ram.description";"War machine created to take down castle gates.";"Machine de guerre créée pour démolir les portes des châteaux.";"Eine Kriegsmaschine, um Burgtore zu durchbrechen.";"Máquina de guerra creada para derribar las puertas de los castillos.";"Machina oblężnicza do przebijania zamkowych wrót.";"Боевая машина для уничтожения ворот замков.";"성문을 파괴할 목적으로 만들어진 전쟁 병기입니다.";"城門を破壊するために作られた兵器";"为拆除城堡大门而制造的战争机械。";"製造來摧毀城堡大門的戰爭機器。";"Kale kapılarını yıkmak için tasarlanmış savaş makinesi.";"युद्ध की मशीन जिसे किले के गेट्स को उड़ा देने के लिए बनाया गया है.";"Mesin tempur yang diciptakan untuk menghancurkan gerbang kastel."
"Heavy_Siege_Ram.description";"Heavy War machine created to take down castle gates.";"Machine de guerre créée pour démolir les portes des châteaux.";"Eine Kriegsmaschine, um Burgtore zu durchbrechen.";"Máquina de guerra creada para derribar las puertas de los castillos.";"Machina oblężnicza do przebijania zamkowych wrót.";"Боевая машина для уничтожения ворот замков.";"성문을 파괴할 목적으로 만들어진 전쟁 병기입니다.";"城門を破壊するために作られた兵器";"为拆除城堡大门而制造的战争机械。";"製造來摧毀城堡大門的戰爭機器。";"Kale kapılarını yıkmak için tasarlanmış savaş makinesi.";"युद्ध की मशीन जिसे किले के गेट्स को उड़ा देने के लिए बनाया गया है.";"Mesin tempur yang diciptakan untuk menghancurkan gerbang kastel."
"Heavy_Trebuchet.name";"Trebuchet";"Trébuchet";"Trebuchet";"Trabuquete";"Trebusz";"Требушет";"트레뷰셋";"トレビュシェット";"投石机";"投石機";"Trebüşe";"ट्रेबुशे";"Trebuchet"
"Heavy_Trebuchet.description";"War machine created to take down castle walls and destroy all structures or men it hits with its projectiles.";"Machine de guerre créée pour démolir les murs des châteaux et détruire toutes les structures ou les hommes qu'elle touche de ses projectiles.";"Eine Kriegsmaschine, die mit ihren Geschossen Burgmauern einreißt und Bauten wie Soldaten hinwegfegt.";"Máquina de guerra creada para derribar las murallas de los castillos y destruir todas las estructuras u hombres a los que alcancen sus proyectiles.";"Machina oblężnicza do burzenia zamkowych murów, wystrzeliwująca pociski we wrogie armie i budynki.";"Боевая машина для разрушения городских стен и уничтожения построек и живой силы неприятеля.";"투사체를 이용해 성벽을 무너뜨리고 구조물과 사람 모두 파괴할 목적으로 만들어진 전쟁 병기입니다.";"城壁を破壊するために作られた兵器で、飛ばした弾丸ですべての建造物や人間を破壊します";"一种战争机械，能够用来拆除城堡的城墙，并用其投弹来摧毁击中的所有建筑物或人员。";"製造來摧毀城牆、以其投射物毀掉建築和敵軍。";"Kale duvarlarını yıkmak ve mermileriyle vurduğu tüm yapıları veya adamları yok etmek için tasarlanmış savaş makinesi.";"युद्ध की मशीन जिसे किले की दीवारों को उड़ा देने और उन सभी ढांचों या आदमियों का नामोनिशान मिटा देने के लिए बनाया गया है जिन पर यह अपने प्रोजेक्टाइल्स से वार करती है.";"Mesin tempur yang diciptakan untuk menghancurkan tembok kastel dan seluruh struktur atau prajurit yang terkena proyektilnya."
"HelpTheWeakAction.tooltip";"Have {owner} travel across {owner.kingdom:s} lands and increase its kingdom stability by helping the poor and needy.";"Ordonnez {owner:à} de voyager sur les terres {owner.kingdom:s} et d'accroître leur stabilité en aidant les pauvres et les nécessiteux.";"Lasst {owner} quer durch {owner.kingdom:akk} reisen und durch Hilfe für die Armen und Bedürftigen die Stabilität erhöhen.";"Hacer que {owner} viaje por las tierras de {owner.kingdom} y aumente su estabilidad ayudando a los pobres y a los necesitados.";"Rozkaż {owner:C} udać się w podróż po ziemiach {owner.kingdom:D} i poprawić tamtejszy ład poprzez pomoc ubogim i potrzebującym.";"Приказать {owner:base_sub_dat} отправиться в поездку по землям {owner.kingdom:base_sub_gen}, дабы упрочить стабильность, помогая страждущим и неимущим.";"{owner}에게 {owner.kingdom:s} 영지를 돌아다니며 가난한 사람들과 어려운 사람들을 도와 안정도를 높이도록 명령합니다.";"{owner}が{owner.kingdom:s}を旅し、貧しい人々や困っている人々を助けて安定化を図ります";"令{owner}前往{owner.kingdom:s}领土扶贫济困，帮助稳定秩序。";"讓{owner}橫跨{owner.kingdom:s}土地，幫助貧窮與弱勢人群以增加其穩定度。";"{owner}, {owner.kingdom:s} topraklarında seyahat edip fakirlere ve ihtiyaç sahiplerine yardım ederek genel istikrarı artırsın.";"{owner} से कहें कि पूरे {owner.kingdom} की ज़मीन पर घूमें और इसकी स्थिरता बढ़ाने के लिए गरीबों और ज़रूरतमंदों की मदद करें.";"Perintahkan {owner} untuk pergi ke seluruh wilayah {owner.kingdom:s} dan meningkatkan stabilitas di sana dengan membantu orang-orang yang miskin dan membutuhkan."
"RealmStats.rs_governor_books.name";"{books_icon} in governed Province";"{books_icon} dans la ville";"{books_icon} in der Stadt";"{books_icon} en la ciudad";"{books_icon} w stolicy";"{books_icon} в городе";"{books_icon} - 도심";"州都内の{books_icon}";"城镇的{books_icon}";"{books_icon}在城鎮中";"{books_icon}, Kent Merkezinde";"शहर में {books_icon}";"{books_icon} di Kota"
"RealmStats.rs_governor_books_per_castle.name";"{books_icon} in Castles in governed Province";"{books_icon} dans les châteaux";"{books_icon} in Burgen";"{books_icon} en castillos";"{books_icon} w zamkach";"{books_icon} в замках";"{books_icon} - 성";"城の{books_icon}";"城堡的{books_icon}";"城堡的{books_icon}";"{books_icon}, Kalelerde";"किले में {books_icon}";"{books_icon} di Kastel"
"RealmStats.rs_governor_books_per_village.name";"{books_icon} in Villages in governed Province";"{books_icon} dans les villages";"{books_icon} in Dörfern";"{books_icon} en pueblos";"{books_icon} w wioskach";"{books_icon} в деревнях";"{books_icon} - 마을";"村の{books_icon}";"村庄的{books_icon}";"村莊的{books_icon}";"{books_icon}, Köylerde";"गांवों में {books_icon}";"{books_icon} di Desa"
